Filename;Scale_1_Original;Scale_1_Compressed;Scale_2_Original;Scale_2_Compressed;Scale_3_Original;Scale_3_Compressed;Scale_4_Original;Scale_4_Compressed;Scale_5_Original;Scale_5_Compressed;Scale_6_Original;Scale_6_Compressed;Scale_7_Original;Scale_7_Compressed;Scale_8_Original;Scale_8_Compressed;Scale_9_Original;Scale_9_Compressed;Scale_10_Original;Scale_10_Compressed;Scale_11_Original;Scale_11_Compressed;Scale_12_Original;Scale_12_Compressed;Scale_13_Original;Scale_13_Compressed;Scale_14_Original;Scale_14_Compressed;Scale_15_Original;Scale_15_Compressed;Scale_16_Original;Scale_16_Compressed;Scale_17_Original;Scale_17_Compressed;Scale_18_Original;Scale_18_Compressed;Scale_19_Original;Scale_19_Compressed;Scale_20_Original;Scale_20_Compressed
S0001312.txt;47401;13310;23703;7356;15805;4969;11851;3926;9487;3203;7901;2683;6776;2303;5931;2091;5271;1871;4746;1679;4314;1548;3948;1428;3647;1318;3384;1262;3162;1198;2962;1110;2788;1060;2634;1018;2494;961;2374;930
adulterado.txt;47400;13256;23703;7343;15805;4958;11851;3912;9487;3185;7901;2682;6776;2285;5931;2091;5271;1858;4746;1668;4314;1546;3948;1424;3647;1323;3384;1272;3162;1191;2962;1105;2788;1056;2634;1024;2494;966;2374;929
caso23,IMSP.TxSP3;156023;6643;78009;5942;52017;5242;39018;4678;31212;4052;26021;3850;22300;3541;19512;3338;17348;3109;15617;2671;14201;2726;13009;2622;12008;2465;11151;2334;10414;2218;9762;2178;9186;2117;8675;2004;8218;1885;7808;1723
