file_name;recs_duration_secs;recs_duration_mins
E9002075.txt;3598.5;59.98
E0001429.txt;3421.5;57.02
E0001376.txt;3594.5;59.91
E0002105.txt;3599.0;59.98
E0001388.txt;3599.0;59.98
E0001403.txt;3599.0;59.98
E0002099.txt;3598.0;59.97
E9001225.txt;3599.0;59.98
E0001433.txt;2754.5;45.91
E9001236.txt;3599.0;59.98
E9001019.txt;3536.5;58.94
E9001191.txt;2835.0;47.25
E9001155.txt;3599.0;59.98
E9001157.txt;3599.0;59.98
E9002067.txt;3599.0;59.98
E0001333.txt;3599.0;59.98
E9001138.txt;3599.0;59.98
E9001222.txt;3280.5;54.67
E9001227.txt;3599.0;59.98
E0001399.txt;3599.0;59.98
E0001162.txt;3596.5;59.94
E9001121.txt;3599.0;59.98
E0002123.txt;3599.0;59.98
E0001419.txt;2836.5;47.27
E9002086.txt;3350.0;55.83
E9002056.txt;2395.5;39.92
E9001014.txt;3599.0;59.98
E9001063.txt;2957.5;49.29
E9002030.txt;2507.5;41.79
E0001330.txt;3599.0;59.98
E0001444.txt;3019.5;50.33
E9001009.txt;3237.5;53.96
E0002094.txt;3599.0;59.98
E0002111.txt;3599.0;59.98
E0001371.txt;3598.0;59.97
E9001241.txt;3599.0;59.98
E9002060.txt;3597.0;59.95
E0001385.txt;3599.0;59.98
E9001168.txt;3599.0;59.98
E0001279.txt;3599.0;59.98
E0001438.txt;3599.0;59.98
E0001309.txt;3599.0;59.98
E0001430.txt;2801.5;46.69
E0001436.txt;3423.5;57.06
E0001257.txt;3599.0;59.98
E0001356.txt;3540.5;59.01
E9001069.txt;2487.5;41.46
E9001195.txt;2907.0;48.45
